SampleID,Condition,Tissue,Histone,CellSet,Replicate,bamReads,Peaks,PeakCaller,peakFormat,ScoreCol
WA09_CTd0_K4me3_1,CTd0,WA09,K4me3,BM01,1,data_for_import/CUT&Tag/bam/WA09_CTd0_K4me3_1.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K4me3_1_SeacrPeak.bed,bed,bed,5
WA09_CTd0_K4me3_2,CTd0,WA09,K4me3,BM02,2,data_for_import/CUT&Tag/bam/WA09_CTd0_K4me3_2.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K4me3_2_SeacrPeak.bed,bed,bed,5
WA09_CTd0_K4me3_3,CTd0,WA09,K4me3,BM07,3,data_for_import/CUT&Tag/bam/WA09_CTd0_K4me3_3.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K4me3_3_SeacrPeak.bed,bed,bed,5
WA09_CTd0_K4me3_4,CTd0,WA09,K4me3,BM08,4,data_for_import/CUT&Tag/bam/WA09_CTd0_K4me3_4.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K4me3_4_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K4me3_1,CTd120,WA09,K4me3,BM01,1,data_for_import/CUT&Tag/bam/WA09_CTd120_K4me3_1.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K4me3_1_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K4me3_2,CTd120,WA09,K4me3,BM02,2,data_for_import/CUT&Tag/bam/WA09_CTd120_K4me3_2.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K4me3_2_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K4me3_3,CTd120,WA09,K4me3,BM07,3,data_for_import/CUT&Tag/bam/WA09_CTd120_K4me3_3.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K4me3_3_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K4me3_4,CTd120,WA09,K4me3,BM08,4,data_for_import/CUT&Tag/bam/WA09_CTd120_K4me3_4.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K4me3_4_SeacrPeak.bed,bed,bed,5
WA09_CTd180_K4me3_1,CTd180,WA09,K4me3,BM01,1,data_for_import/CUT&Tag/bam/WA09_CTd180_K4me3_1.bam,data_for_import/CUT&Tag/peak/WA09_CTd180_K4me3_1_SeacrPeak.bed,bed,bed,5
WA09_CTd180_K4me3_2,CTd180,WA09,K4me3,BM02,2,data_for_import/CUT&Tag/bam/WA09_CTd180_K4me3_2.bam,data_for_import/CUT&Tag/peak/WA09_CTd180_K4me3_2_SeacrPeak.bed,bed,bed,5
