Pathway	pVal	zScore	Genes	type
LARP1 Signaling	78.5767541260632	8.12	EEF1B2,EIF3E,EIF3F,EIF3H,HNRNPA1,PABPC1,RACK1,RPL10,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL29,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL5,RPL6,RPL7,RPL7A,RPL8,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27,RPS27A,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS5,RPS6,RPS7,RPS8	Upstream
RICTOR Signaling	20.1662156253435	6.559	ATP5MC2,ATP5MG,ATP6V1G1,BAX,COX17,COX4I1,COX6B1,COX7A2,COX7A2L,EGR1,FAU,IRS2,MCL1,NCAM2,PPA1,PSMA7,RPL10,RPL11,RPL12,RPL13A,RPL14,RPL21,RPL22,RPL23,RPL26,RPL30,RPL35A,RPL38,RPL4,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP2,RPS11,RPS13,RPS15,RPS18,RPS19,RPS2,RPS21,RPS23,RPS24,RPS27A,RPS29,RPS3,RPS5,RPS6,RPS8,UQCRB	Upstream
Cell death of osteosarcoma cells	29.378823718225	5.308	RPL7A,RPL13A,RPS24,RPL37A,RPL35A,RPS5,RPL6,RPS13,RPS19,RPL5,RPL9,PSMA7,RPL38,EIF3E,RPS15A,FAU,RPL37,RPS11,RPL31,RPS21,RPL19,RPL27A,RPS29,RPS18,RPL11,RPL35,PABPC1,RPS7,EIF3L,RPL13,SON,RPS14,RPS12,RPS3,RPS16,RBM39,HSPA9,RPL7,RPLP0,COPA,RPS28,RPS27A,VCP,EIF3F,RPL27,RPL10	Functional
Size of body	10.8827287043442	5.106	DLX5,SATB1,ETV1,ADGRA1,FOS,NFIC,GRIA4,ST8SIA2,SGCB,CLCN3,KCNMA1,MYO10,DIO3,CDKN2C,AHI1,NFIA,ETV5,BCLAF1,BAX,ERBB3,HES1,SULF2,GATM,CKB,PEA15,SPRY4,NTRK3,NTRK2,CELF4,CDK6,SLC6A1,LAMA4,BMP7,OLFM1,NRXN2,HDAC2,KLF6,CHRM3,DBI,PLAT,CACNA1A,IGF2,LTBP3,RAB3A,CNTN1,NRCAM,HINT1,SPRY2,SPRED1,MAP2,STAT3,SMAD3,MAP1B,FOSB,CTSD,RASSF2,CD81,TET1,APP,ATP2A2,KHDRBS1,APBB2,DNAJC3,SCN1A,CCND1,MMP16,AKT3,PIK3R1,H2AX,ZFP36L2,PTN,GRIA3,SNX1,NLGN1,PHF6,XRCC5,GRIA2,PDE6D,CDKN1A,PSAP,CANX,PNPLA8,NLGN3,UGT8,EHD4,TRAF4,CC2D1A,DLX1,BSCL2,BAMBI,IRS2,HIP1R,PPIB,AKT2,IL6ST,ATF4,PBX1,NPAS3,PLP1,SYNE1,TIMP3,GAD2,CPE,EGR2,KCNJ10	Functional
tetradecanoylphorbol acetate Signaling	5.28988263488818	4.864	APP,ARC,ASCL1,ATP2A2,ATP2B1,BAX,BLM,BMP7,BTG1,CALCRL,CCN1,CCND1,CCNH,CD70,CDKN1A,CPE,CTSD,DAB2,DIO3,DNAJC3,DUSP6,EGR1,EGR2,EGR3,ERBB4,FOS,FOSB,GAL3ST1,GPC2,H1-10,H4C3,HES1,HMGA1,HNRNPF,HSPA5,IGF2,IGFBP2,IRF1,ITM2A,JAG1,JUN,JUNB,JUND,KAT2B,KCNJ10,KLF6,KRT10,LAMP1,MCL1,MT2A,NAV2,NKAIN3,PEA15,PHGDH,PHLDA1,PKM,PLAT,PODXL2,PPP1R12A,PPP1R15A,PRKX,PRNP,PTPRE,RACK1,RPL19,SMAD3,SPARC,SPRY4,ST6GAL1,STAT3,STC1,TEAD2,TEK,THY1,TIMP1,TJP1,TNFRSF21,TRAF4,VCAN,ZEB1	Upstream
Cell death of cancer cells	35.8632794328436	4.699	IRF1,RPS24,SMARCA4,RPS5,FOS,NFIC,RPS13,RPS19,PSMA7,EIF3E,RPS11,EMP2,RPL19,RPS18,PABPC1,RPS12,CD47,CLU,MAP3K1,BAX,CD24,RPS27A,HES1,IDH2,JUN,CCN1,MCL1,LGALS1,RPL6,RPL5,RPL38,RPS3A,CDK6,RPS21,BMP7,HDAC2,TXN,B2M,AFAP1L2,RPS14,PHLDA1,HSPA9,TSC22D1,RPS28,RPL10,RPL7A,RPL13A,ITGAV,CHD1,SPRY2,RPL37A,STC1,STAT3,FAU,RND3,RPL27A,BRD2,RPS29,RPL11,RPL35,RPS7,APP,EIF3L,MAGEH1,RPS16,RBM39,RPL7,RPLP0,PRNP,NR3C1,CCND1,UBB,VCP,LRRK2,EIF3F,SOX4,RPL27,RPL35A,PIK3R1,PTN,BEX2,RPL9,RPS15A,RPL37,CDKN1A,RPL31,PURPL,MIF,RPL13,AKT2,SON,SPARC,IL6ST,RPS3,ATF4,SOX11,NAMPT,COPA,NFE2L2	Functional
Vegf Signaling	5.18508681872493	4.555	BAX,BMP7,CALCRL,CALM1 (includes others),CCN1,CDKN2C,CRABP1,DUSP6,EGR1,EGR2,EGR3,EMP2,ERBB3,ETV5,FAIM2,FOS,FOSB,GPSM2,GRB14,HERPUD1,HES1,IL6ST,IRF1,ITGB8,JUN,MAGI1,MCL1,MIF,MPC1,NAMPT,NRCAM,PCDH10,PHLDA1,PLOD2,PLPP3,RGCC,STAT3,STC1,TIMP1,TJP1,TRIB2,ZEB1	Upstream
CD 437 Signaling	23.1090204030103	4.546	ATP5MG,BAX,CDKN1A,CLIC1,COX7A2,COX7A2L,COX7C,FOS,FSCN1,FTL,HNRNPA1,ITM2B,JUN,KPNA2,LGALS1,NACA,PABPC1,PDIA3,RBMX,RBX1,RPL10,RPL11,RPL13,RPL13A,RPL19,RPL24,RPL36A,RPL39,RPL8,RPLP2,RPS15,RPS16,RPS2,RPS27,SET,SH3BGRL3,SNRPD2,SOX11,SOX4,SRSF3,TMSB10/TMSB4X,TUBA1A,TXN,UBA52,UBL5,UQCRH,UXT	Upstream
Coronavirus Pathogenesis Pathway	14.6	4.54219979166135	ATF4,BAX,CCND1,EEF1A2,FAU,FOS,HDAC2,IFNAR1,JUN,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS5,RPS6,RPS7,RPS8,SMAD3,STAT3	Canonical
Infection of cells	5.87942606879415	4.485	PSD3,IRF1,AASS,PDIA6,CHADL,IFNAR1,MAT2A,ENC1,PAK3,ARGLU1,PSMA7,XKR4,EEA1,FAU,ST6GAL1,LRP1,DDOST,HNRNPDL,CD81,SEPTIN8,SRSF6,PGM1,TLE5,RPS6,DNAJB1,PDGFRA,HSP90B1,DBN1,H3-3A/H3-3B,APP,ITGB8,CLDND1,KHDRBS1,PRKX,TTC3,PRNP,RHOB,PPP1R15A,EIF3H,BCLAF1,PDIA3,HES1,VCP,BCL11A,MGLL,SPCS3,MT2A,EPN2,TMEM106B,HNRNPF,HNRNPU,RHOC,CRMP1,RAB6A,PIK3R1,RPL12,RBM25,SDF4,RPL5,DLGAP4,KLRC2,NTRK3,RBM5,NLGN3,PLOD2,RACK1,TRAPPC1,SRSF2,HIP1R,RAB5A,B2M,PPIB,SERPINB6,PPP2R2A,RAB3A,HSPA9,PPM1K,COPA,HSPA5,SLC2A13,TIAL1,DAB2,ATP6AP2	Functional
